"","Est.Lag3","2.5%-Lag3","97.5%-Lag3","SE","Factor","Region"
"1",1.50283335901747,1.26594247670415,1.78405270897909,0.0875196422414321,"p95_pm25(90)_2d","Aichi"
"2",0.476341342501479,0.0927430192883495,2.44655690872698,0.83486343693995,"p95_pm25(90)_2d","Akita"
"3",2.90470187020959,1.58833438429994,5.31203821953261,0.307987724901228,"p95_pm25(90)_2d","Aomori"
"4",0.871859049953092,0.512088035992594,1.48438969387697,0.271500506908556,"p95_pm25(90)_2d","Chiba"
"5",1.66000140745943,1.03937136226465,2.65122243387889,0.238883154433033,"p95_pm25(90)_2d","Ehime"
"6",1.75212124475256,1.12093594997131,2.73871924296106,0.227893569127829,"p95_pm25(90)_2d","Fukui"
"7",0.533938493352402,0.248847837060923,1.1456411196921,0.3895168706322,"p95_pm25(90)_2d","Fukuoka"
"8",1.12323026957449,0.753713823236598,1.67390619568394,0.203550286780379,"p95_pm25(90)_2d","Fukushima"
"9",1.41562947319549,1.01714185060147,1.97023335948146,0.168665192510749,"p95_pm25(90)_2d","Gifu"
"10",1.36243258874195,0.602527213849676,3.08072816662718,0.416280208736691,"p95_pm25(90)_2d","Gunma"
"11",1.17195970404956,0.933073999988218,1.47200495130426,0.116302175653927,"p95_pm25(90)_2d","Hiroshima"
"12",0.394431226442058,0.180387268766712,0.862455501744895,0.399159763864326,"p95_pm25(90)_2d","Hokkaido"
"13",2.32646744602748,1.51623920124638,3.56965495482275,0.218431534285171,"p95_pm25(90)_2d","Hyogo"
"14",1.16778702066764,0.495230623151366,2.75372010915201,0.437682655795824,"p95_pm25(90)_2d","Ibaraki"
"15",2.63332293308038,1.4153303902297,4.89948475476572,0.316783130232297,"p95_pm25(90)_2d","Ishikawa"
"16",5.13450771770365,2.88645052163166,9.13342158668137,0.293860714398532,"p95_pm25(90)_2d","Iwate"
"17",1.5991703375166,0.858559801350477,2.97864605863257,0.317344555171429,"p95_pm25(90)_2d","Kagawa"
"18",0.657307165845723,0.4263417035486,1.01339537435818,0.220876656314786,"p95_pm25(90)_2d","Kagoshima"
"19",0.643997164574991,0.452772013088426,0.915984946047517,0.179751061555869,"p95_pm25(90)_2d","Kanagawa"
"20",2.07042697191891,1.0445415590339,4.10387486163218,0.349076191379293,"p95_pm25(90)_2d","Kochi"
"21",0.94558383921254,0.664652534951102,1.34525748411643,0.179869711129931,"p95_pm25(90)_2d","Kumamoto"
"22",2.49360726462208,1.54869689355314,4.01503820151019,0.243023087686495,"p95_pm25(90)_2d","Kyoto"
"23",0.117661974525092,0.0232305150703009,0.595954941474485,0.827744379253197,"p95_pm25(90)_2d","Mie"
"24",1.1684924641445,0.708377895982749,1.92746646458846,0.255357754554905,"p95_pm25(90)_2d","Miyagi"
"25",0.636347505453508,0.269242165178805,1.50399231646344,0.438851732073754,"p95_pm25(90)_2d","Miyazaki"
"26",5.54756351945181,2.06818626078634,14.8804107182549,0.503420885780095,"p95_pm25(90)_2d","Nagano"
"27",0.61506416294053,0.200920027037165,1.88285822031946,0.570836835638604,"p95_pm25(90)_2d","Nagasaki"
