"","RERI","SE","2.5%-CI","97.5%-CI","Factor","Region"
"1",0.81216510472431,0.463367861500698,-0.0960359038170584,1.72036611326568,"TAVG(>95th)-PM2.5(>90th)-2d","Aichi"
"2",-0.177458770033165,0.606692237213602,-1.36657555497183,1.0116580149055,"TAVG(>95th)-PM2.5(>90th)-2d","Akita"
"3",0.050931473240428,0.39984986978944,-0.732774271546873,0.83463721802773,"TAVG(>95th)-PM2.5(>90th)-2d","Aomori"
"4",0.233897746349055,0.277837536579258,-0.310663825346292,0.778459318044401,"TAVG(>95th)-PM2.5(>90th)-2d","Chiba"
"5",0.94126741366971,0.529783683699211,-0.0971086063807424,1.97964343372016,"TAVG(>95th)-PM2.5(>90th)-2d","Ehime"
"6",-0.175527835205105,0.480688477943739,-1.11767725197483,0.766621581564625,"TAVG(>95th)-PM2.5(>90th)-2d","Fukui"
"7",0.156557323128659,0.247193492600043,-0.327941922367424,0.641056568624743,"TAVG(>95th)-PM2.5(>90th)-2d","Fukuoka"
"8",-0.956680281581864,0.294347931652074,-1.53360222761993,-0.379758335543798,"TAVG(>95th)-PM2.5(>90th)-2d","Fukushima"
"9",0.480565245350467,0.365456481770474,-0.235729458919661,1.1968599496206,"TAVG(>95th)-PM2.5(>90th)-2d","Gifu"
"10",0.190287225883836,0.774244843647437,-1.32723266766514,1.70780711943281,"TAVG(>95th)-PM2.5(>90th)-2d","Gunma"
"11",0.21158693817386,0.304219468226823,-0.384683219550714,0.807857095898434,"TAVG(>95th)-PM2.5(>90th)-2d","Hiroshima"
"12",-0.29950104720185,0.332823717865318,-0.951835534217872,0.352833439814172,"TAVG(>95th)-PM2.5(>90th)-2d","Hokkaido"
"13",0.326981941310908,0.394992062862717,-0.447202501900017,1.10116638452183,"TAVG(>95th)-PM2.5(>90th)-2d","Hyogo"
"14",-0.0524126758364603,0.414093049746072,-0.864035053338761,0.759209701665841,"TAVG(>95th)-PM2.5(>90th)-2d","Ibaraki"
"15",0.420082896860145,0.62963382651496,-0.813999403109177,1.65416519682947,"TAVG(>95th)-PM2.5(>90th)-2d","Ishikawa"
"16",1.4363492021081,0.690255686761671,0.0834480560552238,2.78925034816098,"TAVG(>95th)-PM2.5(>90th)-2d","Iwate"
"17",0.7251639193025,0.719557390212139,-0.685168565513292,2.13549640411829,"TAVG(>95th)-PM2.5(>90th)-2d","Kagawa"
"18",-0.431191383781872,0.250802959657592,-0.922765184710754,0.0603824171470086,"TAVG(>95th)-PM2.5(>90th)-2d","Kagoshima"
"19",-0.0958342473262708,0.207508278476562,-0.502550473140333,0.310881978487792,"TAVG(>95th)-PM2.5(>90th)-2d","Kanagawa"
"20",-0.42412787222485,0.654710666143428,-1.70736077786597,0.85910503341627,"TAVG(>95th)-PM2.5(>90th)-2d","Kochi"
"21",-0.731671930220789,0.561202516252103,-1.83162886207491,0.368285001633333,"TAVG(>95th)-PM2.5(>90th)-2d","Kumamoto"
"22",0.985996609948135,0.715808321380323,-0.416987699957299,2.38898091985357,"TAVG(>95th)-PM2.5(>90th)-2d","Kyoto"
"23",-1.47478659750456,0.228025661342029,-1.92171689373494,-1.02785630127418,"TAVG(>95th)-PM2.5(>90th)-2d","Mie"
"24",-0.103764852483583,0.398821089406651,-0.885454187720619,0.677924482753454,"TAVG(>95th)-PM2.5(>90th)-2d","Miyagi"
"25",-0.502410351115845,0.348955365127658,-1.18636286676605,0.181542164534366,"TAVG(>95th)-PM2.5(>90th)-2d","Miyazaki"
"26",0.884564921359938,0.82513972201332,-0.732708933786169,2.50183877650604,"TAVG(>95th)-PM2.5(>90th)-2d","Nagano"
"27",-1.46480028195589,0.605392899680231,-2.65137036532915,-0.278230198582639,"TAVG(>95th)-PM2.5(>90th)-2d","Nagasaki"
"28",-0.539732585126766,0.394612262683296,-1.31317261998603,0.233707449732494,"TAVG(>95th)-PM2.5(>90th)-2d","Nara"
"29",-0.383153952405172,0.387585562812164,-1.14282165551701,0.376513750706669,"TAVG(>95th)-PM2.5(>90th)-2d","Niigata"
"30",-1.63057113130097,0.57836531108678,-2.76416714103106,-0.496975121570885,"TAVG(>95th)-PM2.5(>90th)-2d","Oita"
"31",0.252637051517204,0.492554013886385,-0.71276881570011,1.21804291873452,"TAVG(>95th)-PM2.5(>90th)-2d","Okayama"
