"","Est.Lag3","2.5%-Lag3","97.5%-Lag3","SE","Factor","Region"
"1",1.20918018897148,0.989881449883749,1.4770624599267,0.102100187758776,"p97.5_2d","Aichi"
"2",1.89799619316411,1.17127523085378,3.07561319011206,0.246282891996042,"p97.5_2d","Akita"
"3",1.34124420890901,0.977982706733538,1.83943541695171,0.161156526927595,"p97.5_2d","Aomori"
"4",1.32383237489529,1.12363791624478,1.55969474817823,0.0836542327958927,"p97.5_2d","Chiba"
"5",1.38844121052535,1.0629677518501,1.81357241715923,0.136286649511099,"p97.5_2d","Ehime"
"6",1.50383185342962,1.05512573643682,2.1433561567996,0.180797443834771,"p97.5_2d","Fukui"
"7",0.96395759610851,0.844941424965195,1.09973806424933,0.0672359297704364,"p97.5_2d","Fukuoka"
"8",1.20302437017169,0.994344719109435,1.45549889028746,0.0972007795346051,"p97.5_2d","Fukushima"
"9",1.223333690856,1.00033043095292,1.4960509776332,0.10268009558644,"p97.5_2d","Gifu"
"10",1.05142881945021,0.732255419591236,1.50972260879624,0.184582938485357,"p97.5_2d","Gunma"
"11",1.1137430800306,0.980230201189046,1.2654411655664,0.0651513616088158,"p97.5_2d","Hiroshima"
"12",1.27906889176745,0.838079409401338,1.95210288134374,0.215705395927031,"p97.5_2d","Hokkaido"
"13",1.069177946576,0.811369538347238,1.4089036221067,0.140778989896746,"p97.5_2d","Hyogo"
"14",1.64030771521324,1.2501738501467,2.1521881938839,0.138574604352269,"p97.5_2d","Ibaraki"
"15",1.43529589211253,1.05648347267102,1.94993518706618,0.156342214697964,"p97.5_2d","Ishikawa"
"16",0.963638884340024,0.67772465094956,1.37017282477629,0.179582655595287,"p97.5_2d","Iwate"
"17",1.63883182494296,1.11320483609803,2.41264649896775,0.197320253960812,"p97.5_2d","Kagawa"
"18",1.00243514889063,0.848034337100685,1.18494757083413,0.0853415380004972,"p97.5_2d","Kagoshima"
"19",0.896625985794693,0.759646349012552,1.0583058280308,0.0845861559039095,"p97.5_2d","Kanagawa"
"20",0.811437892762217,0.540494198300496,1.21820262989081,0.207311945671186,"p97.5_2d","Kochi"
"21",2.03141332670943,1.56893516804742,2.63021709754162,0.131805798757285,"p97.5_2d","Kumamoto"
"22",1.40310787842608,1.13847848483112,1.72924806637287,0.10663307210855,"p97.5_2d","Kyoto"
"23",1.27805932174733,0.906060574594076,1.80278855046425,0.17550929049355,"p97.5_2d","Mie"
"24",1.18854105443699,0.91483020669624,1.5441442879151,0.133544978240963,"p97.5_2d","Miyagi"
"25",0.666037332215594,0.514861263736231,0.861602453223456,0.131353561498991,"p97.5_2d","Miyazaki"
"26",2.13735238450572,1.401443041019,3.25969381690366,0.215343451990994,"p97.5_2d","Nagano"
"27",0.973419252330694,0.74816684523356,1.26648894807982,0.134282501867598,"p97.5_2d","Nagasaki"
