"","RERI","SE","2.5%-CI","97.5%-CI","Factor","Region"
"1",0.20715695162808,0.594422998870412,-0.957912126157927,1.37222602941409,"joint_p075_p95_2d","Antofagasta"
"2",-2.12575778534051,1.6249755914209,-5.31070994452548,1.05919437384446,"joint_p075_p95_2d","Atacama"
"3",0.236765290417555,0.728358904833052,-1.19081816305523,1.66434874389034,"joint_p075_p95_2d","Aysen"
"4",-0.280274385852328,0.283104965569498,-0.835160118368544,0.274611346663889,"joint_p075_p95_2d","Biobio"
"5",1.82420849577915,1.06565397299623,-0.264473291293471,3.91289028285177,"joint_p075_p95_2d","Coquimbo"
"6",-0.149355451147804,0.603452506871384,-1.33212236461572,1.03341146232011,"joint_p075_p95_2d","La.Araucania"
"7",-0.224965011330532,0.42000792981352,-1.04818055376503,0.598250531103966,"joint_p075_p95_2d","Los.Lagos"
"8",0.461204634989409,0.435633340251872,-0.39263671190426,1.31504598188308,"joint_p075_p95_2d","Los.Rios"
"9",-1.43401365409985,0.479803453343372,-2.37442842265286,-0.493598885546844,"joint_p075_p95_2d","Maule"
"10",0.259229905547388,0.343191257059291,-0.413424958288823,0.931884769383599,"joint_p075_p95_2d","Metropolitana.de.Santiago"
"11",4.07742636021613e-05,0.401391845374324,-0.786687242670073,0.786768791197277,"joint_p075_p95_2d","Nuble"
"12",0.720560197912443,0.341726093071136,0.0507770554930164,1.39034334033187,"joint_p075_p95_2d","O.Higgins"
"13",-0.70822799850483,0.27817485551551,-1.25345071531523,-0.163005281694431,"joint_p075_p95_2d","Valparaiso"
"14",0.106391377952752,0.592089456600524,-1.05410395698428,1.26688671288978,"joint_p10_p95_2d","Antofagasta"
"15",-1.21956908605,1.3228367147439,-3.81232904694804,1.37319087484804,"joint_p10_p95_2d","Atacama"
"16",-0.425309221283505,1.46187265733349,-3.29057962965714,2.43996118709013,"joint_p10_p95_2d","Aysen"
"17",0.121087603947493,0.337627146584406,-0.540661603357942,0.782836811252928,"joint_p10_p95_2d","Biobio"
"18",0.829231965598792,0.900712254349522,-0.936164052926271,2.59462798412386,"joint_p10_p95_2d","Coquimbo"
"19",0.0168344561549385,0.596255045794668,-1.15182543360261,1.18549434591249,"joint_p10_p95_2d","La.Araucania"
"20",-0.22907030423406,0.432699231726458,-1.07716079841792,0.619020189949797,"joint_p10_p95_2d","Los.Lagos"
"21",0.270196598328777,0.409142030034092,-0.531721780538043,1.0721149771956,"joint_p10_p95_2d","Los.Rios"
"22",-1.16066410331612,0.501782509522655,-2.14415782198053,-0.177170384651721,"joint_p10_p95_2d","Maule"
"23",-0.00978509061928967,0.271226386164055,-0.541388807500837,0.521818626262258,"joint_p10_p95_2d","Metropolitana.de.Santiago"
"24",-0.0632188408305441,0.523400970386496,-1.08908474278808,0.962647061126989,"joint_p10_p95_2d","Nuble"
"25",0.9837507149678,0.395244978148947,0.209070557795864,1.75843087213974,"joint_p10_p95_2d","O.Higgins"
"26",-0.221384143098142,0.308769596760761,-0.826572552749234,0.383804266552949,"joint_p10_p95_2d","Valparaiso"
